z,e,r,o, ,m,e,a,n,s, ,n,o, ,d,a,t,a, ,a,v,a,i,l,a,b,l,e, ,i,n, ,t,h,e, ,g,i,v,e,n, ,c,a,t,a,l,o,g
Glass name,Glass catalog,Wavelength,Refractive index in web,Refractive index calculated,Difference of RI
K5G20,SCHOTT-K,1.435,1.508314166185,1.5083141661850268,-2.6867397195928788e-14
N-SK15,SCHOTT-SK,1.417,1.6055263722658,1.6055263722658464,-4.6407322429331543e-14
N-SSK5,SCHOTT-SSK,1.425,1.6385485784244,1.6385485784244467,-4.6629367034256575e-14
N-BK7,SCHOTT-BK,1.4,1.5024964846769,1.5024964846769453,-4.529709940470639e-14
N-BAK4,SCHOTT-BaK,1.417,1.5524334945124,1.5524334945124234,-2.3314683517128287e-14
N-FK58,SCHOTT-FK,1.38,1.447776337143,1.4477763371430283,-2.842170943040401e-14
N-LAK22,SCHOTT-LaK,1.405,1.632632492327,1.6326324923269653,3.4638958368304884e-14
N-PK51,SCHOTT-PK,1.4,1.5176371075964,1.5176371075964379,-3.7969627442180354e-14
N-PSK53,SCHOTT-PSK,1.405,1.6042562157909,1.6042562157908973,2.6645352591003757e-15
F2HT,SCHOTT-F,1.41,1.5966535905313,1.596653590531333,-3.3084646133829665e-14
J-K3,HIKARI-K,1.212,1.5059199137918,1.5059199137917636,3.6415315207705135e-14
J-SK2,HIKARI-SK,1.212,1.5928655674774,1.5928655674774181,-1.8207657603852567e-14
J-SSK1,HIKARI-SSK,1.212,1.6014770456434,1.601477045643395,4.884981308350689e-15
J-SF03,HIKARI-SF,1.223,1.8068440206027,1.806844020602653,4.707345624410664e-14
J-LAF7,HIKARI-LaF,1.223,1.7235202866443,1.7235202866442856,1.4432899320127035e-14
J-KF6,HIKARI-KF,1.212,1.5036090090353,1.503609009035338,-3.7969627442180354e-14
J-LLF1,HIKARI-LLF,1.212,1.5324654738819,1.5324654738818893,1.0658141036401503e-14
J-F2,HIKARI-F,1.212,1.598971600544,1.5989716005439945,5.551115123125783e-15
J-PKH1,HIKARI-PK,1.212,1.5074425641842,1.5074425641841724,2.7533531010703882e-14
J-BAF8,HIKARI-BaF,1.212,1.6063886710816,1.6063886710816218,-2.1760371282653068e-14
E-C3,HOYA-C,0.6895,1.5145239094414,1.5145239094414182,-1.8207657603852567e-14
BSC7,HOYA-BSC,0.6895,1.5133433725936,1.5133433725936214,-2.1316282072803006e-14
FC5,HOYA-FC,0.6895,1.4845044441309,1.4845044441309239,-2.375877272697835e-14
LBC3N,HOYA-LBC,0.6895,1.6022435245224,1.6022435245223736,2.6423307986078726e-14
E-FD8,HOYA-FD,0.6895,1.6800914138417,1.6800914138417162,-1.6209256159527285e-14
E-FDS1,HOYA-FDS,0.6895,1.905762087593,1.9057620875929704,2.9531932455029164e-14
E-ADF50,HOYA-ADF,0.6895,1.6473187791899,1.6473187791898698,3.019806626980426e-14
E-FEL2,HOYA-FEL,0.6895,1.5359904589522,1.535990458952238,-3.7969627442180354e-14
PCD51,HOYA-PCD,0.6895,1.5897151535813,1.589715153581319,-1.9095836023552692e-14
LAC13,HOYA-LaC,0.6895,1.6880201474184,1.6880201474183998,2.220446049250313e-16
S-APL,OHARA-APL,0.6325,1.5157057539876,1.515705753987554,4.596323321948148e-14
BAH27,OHARA-BAH,0.6325,1.6980632593842,1.6980632593842075,-7.549516567451064e-15
BAL35,OHARA-BAL,0.6325,1.5871083965927,1.587108396592708,-7.993605777301127e-15
BAM25,OHARA-BAM,0.6325,1.6003151391828,1.6003151391828112,-1.1102230246251565e-14
L-BBH2,OHARA-BBH,1.35,2.0353678543478,2.0353678543478426,-4.263256414560601e-14
BPH35,OHARA-BPH,1.35,1.6215828611381,1.621582861138073,2.708944180085382e-14
BPM51,OHARA-BPM,1.35,1.5923988047649,1.5923988047649336,-3.352873534367973e-14
S-FSL5,OHARA-FSL,1.34,1.4754021581279,1.475402158127933,-3.3084646133829665e-14
S-LAL56,OHARA-LAL,1.365,1.6580794489205,1.6580794489205015,-1.5543122344752192e-15
S-NSL3,OHARA-NSL,1.36,1.5043405369437,1.5043405369437124,-1.2434497875801753e-14
K-SK14,SUMITA-SK,0.955,1.5927593988465,1.5927593988465394,-3.930189507173054e-14
K-LaFn5,SUMITA-LaF,0.955,1.7277757470808,1.7277757470807544,4.551914400963142e-14
K-SSK4,SUMITA-SSK,0.955,1.6062495653423,1.6062495653423272,-2.731148640577885e-14
K-PSK100,SUMITA-PSK,0.955,1.5817204363013,1.5817204363013018,-1.7763568394002505e-15
K-GIR79,SUMITA-GIR,0.955,1.832273778356,1.8322737783560372,-3.730349362740526e-14
K-FK5,SUMITA-FK,0.955,1.479893338652,1.4798933386519508,4.907185768843192e-14
K-FIR97UV,SUMITA-FIR,0.955,1.4212438069446,1.4212438069445519,4.8183679268731794e-14
K-BK7,SUMITA-BK,0.955,1.5076945747233,1.5076945747233466,-4.6629367034256575e-14
K-BOC30,SUMITA-BOC,0.975,1.9716461861203,1.9716461861202712,2.886579864025407e-14
K-SFLD8,SUMITA-SFLD,0.975,1.6679713608898,1.667971360889753,4.6851411639181606e-14
