z,e,r,o, ,m,e,a,n,s, ,n,o, ,d,a,t,a, ,a,v,a,i,l,a,b,l,e, ,i,n, ,t,h,e, ,g,i,v,e,n, ,c,a,t,a,l,o,g
Glass name,Glass catalog,Wavelength,Refractive index in web,Refractive index calculated,Difference of RI
E-C3,HOYA-C,0.6895,1.5145239094414,1.5145239094414182,-1.8207657603852567e-14
BSC7,HOYA-BSC,0.6895,1.5133433725936,1.5133433725936214,-2.1316282072803006e-14
FC5,HOYA-FC,0.6895,1.4845044441309,1.4845044441309239,-2.375877272697835e-14
LBC3N,HOYA-LBC,0.6895,1.6022435245224,1.6022435245223736,2.6423307986078726e-14
E-FD8,HOYA-FD,0.6895,1.6800914138417,1.6800914138417162,-1.6209256159527285e-14
E-FDS1,HOYA-FDS,0.6895,1.905762087593,1.9057620875929704,2.9531932455029164e-14
E-ADF50,HOYA-ADF,0.6895,1.6473187791899,1.6473187791898698,3.019806626980426e-14
E-FEL2,HOYA-FEL,0.6895,1.5359904589522,1.535990458952238,-3.7969627442180354e-14
PCD51,HOYA-PCD,0.6895,1.5897151535813,1.589715153581319,-1.9095836023552692e-14
LAC13,HOYA-LaC,0.6895,1.6880201474184,1.6880201474183998,2.220446049250313e-16
