Glass name,Glass catalog,Wavelength,Refractive index in web,Refractive index calculated,Difference of RI
P-SK57,SCHOTT-SK,1.41,1.5703968082091,1.5703968082090927,7.327471962526033e-15
N-BK7,SCHOTT-BK,1.4,1.5024964846769,1.5024964846769453,-4.529709940470639e-14
N-LAF36,SCHOTT-LaF,1.425,1.7717618813575,1.7717618813575469,-4.6851411639181606e-14
BAH78,OHARA-BAH,1.35,1.6980709364282,1.6980709364282358,-3.574918139293004e-14
BSM28,OHARA-BSM,0.6325,1.6151620771772,1.6151620771771902,9.769962616701378e-15
S-NPH2,OHARA-NPH,1.395,1.8649387496411,1.864938749641054,4.596323321948148e-14
J-SSK5,HIKARI-SSK,1.212,1.641478191479,1.641478191479033,-3.3084646133829665e-14
J-BAF12,HIKARI-BaF,1.212,1.6209035211569,1.620903521156869,3.108624468950438e-14
E-KF6,HIKARI-KF,0.55,1.519528679542,1.5195286795419674,3.26405569239796e-14
E-BACD10,HOYA-BaCD,0.6895,1.6182096278307,1.618209627830666,3.419486915845482e-14
FF8,HOYA-FF,0.6895,1.7403235989691,1.7403235989690602,3.9745984281580604e-14
M-TAF101,HOYA-TaF,0.6895,1.7614948073829,1.7614948073829346,-3.4638958368304884e-14
K-SFLD11,SUMITA-SFLD,0.975,1.7569794012754,1.7569794012753823,1.7763568394002505e-14
K-PFK85,SUMITA-PFK,0.955,1.4797608087968,1.479760808796796,3.9968028886505635e-15
K-ZnSF8,SUMITA-ZnSF,0.955,1.6966846945914,1.6966846945913507,4.929390229335695e-14
