Glass name,Glass catalog,Wavelength,Refractive index in web,Refractive index calculated,Difference of RI
N-K5,SCHOTT-K,1.405,1.5080108965695,1.5080108965695291,-2.90878432451791e-14
P-SK57,SCHOTT-SK,1.41,1.5703968082091,1.5703968082090927,7.327471962526033e-15
N-SSK8,SCHOTT-SSK,1.425,1.5985620972785,1.598562097278475,2.4868995751603507e-14
N-BK7,SCHOTT-BK,1.4,1.5024964846769,1.5024964846769453,-4.529709940470639e-14
N-BAK2,SCHOTT-BaK,1.4,1.5252680148256,1.5252680148256326,-3.26405569239796e-14
N-FK51,SCHOTT-FK,1.395,1.477050793174,1.4770507931739607,3.930189507173054e-14
N-LAK34,SCHOTT-LaK,1.395,1.7072658463389,1.7072658463389139,-1.3766765505351941e-14
N-PK52A,SCHOTT-PK,1.395,1.487132629172,1.487132629171976,2.398081733190338e-14
N-PSK53,SCHOTT-PSK,1.405,1.6042562157909,1.6042562157908973,2.6645352591003757e-15
F2G12,SCHOTT-F,1.445,1.5969845747756,1.596984574775621,-2.1094237467877974e-14
LF5G15,SCHOTT-LF,1.44,1.5633016042542,1.5633016042541632,3.68594044175552e-14
LLF1,SCHOTT-LLF,1.405,1.5302844973655,1.5281493708753795,0.002135126490120598
N-SF56,SCHOTT-SF,1.44,1.7459353317734,1.5302844973654912,0.2156508344079089
N-KZFS5,SCHOTT-KzFS,1.417,1.6295774984571,1.7459353317733741,-0.11635783331627403
N-BAF10,SCHOTT-BaF,1.425,1.6485650323326,1.6295774984571483,0.018987533875451712
N-BALF4,SCHOTT-BaLF,1.425,1.5624680720711,1.6485650323326093,-0.08609696026150937
N-BASF2,SCHOTT-BaSF,1.435,1.6386866994424,1.5624680720711153,0.07621862737128482
N-LAF36,SCHOTT-LaF,1.425,1.7717618813575,1.6386866994423581,0.1330751819151419
P-LASF47,SCHOTT-LaSF,1.417,1.7773338893879,1.7717618813575469,0.005572008030353182
N-KF9,SCHOTT-KF,1.425,1.5073322993523,1.7773338893878743,-0.27000159003557433
S-APL,OHARA-APL,0.6325,1.5157057539876,1.5073322993523102,0.008373454635289823
S-BAH11,OHARA-BAH,1.37,1.6466493516353,1.515705753987554,0.130943597647746
BAL42,OHARA-BAL,1.33,1.5679564096096,1.6466493516353322,-0.0786929420257323
BAM12,OHARA-BAM,0.6325,1.6363778935594,1.5679564096096013,0.06842148394979874
L-BBH1,OHARA-BBH,1.35,2.0311768440586,1.6363778935594122,0.394798950499188
BPH40,OHARA-BPH,1.35,1.651345710279,2.03117684405859,-0.3798311337795901
BPM4,OHARA-BPM,1.35,1.5923913870852,1.6513457102790052,-0.058954323193805225
L-BSL7,OHARA-BSL,1.35,1.5024600927613,1.5923913870851703,-0.08993129432387015
BSM93,OHARA-BSM,1.33,1.623769174323,1.5024600927612788,0.12130908156172127
S-FPL52,OHARA-FPL,1.345,1.4478717757807,1.6237691743229874,-0.17589739854228736
S-FSL5,OHARA-FSL,1.34,1.4754021581279,1.4478717757807216,0.027530382347178417
S-NBH55,OHARA-NBH,1.38,1.7657330589124,1.475402158127933,0.290330900784467
