z,e,r,o, ,m,e,a,n,s, ,n,o, ,d,a,t,a, ,a,v,a,i,l,a,b,l,e, ,i,n, ,t,h,e, ,g,i,v,e,n, ,c,a,t,a,l,o,g
Glass name,Glass catalog,Wavelength,Refractive index in web,Refractive index calculated,Difference of RI
S-APL,OHARA-APL,0.6325,1.5157057539876,1.515705753987554,4.596323321948148e-14
BAH27,OHARA-BAH,0.6325,1.6980632593842,1.6980632593842075,-7.549516567451064e-15
BAL35,OHARA-BAL,0.6325,1.5871083965927,1.587108396592708,-7.993605777301127e-15
BAM25,OHARA-BAM,0.6325,1.6003151391828,1.6003151391828112,-1.1102230246251565e-14
L-BBH2,OHARA-BBH,1.35,2.0353678543478,2.0353678543478426,-4.263256414560601e-14
BPH35,OHARA-BPH,1.35,1.6215828611381,1.621582861138073,2.708944180085382e-14
BPM51,OHARA-BPM,1.35,1.5923988047649,1.5923988047649336,-3.352873534367973e-14
S-FSL5,OHARA-FSL,1.34,1.4754021581279,1.475402158127933,-3.3084646133829665e-14
S-LAL56,OHARA-LAL,1.365,1.6580794489205,1.6580794489205015,-1.5543122344752192e-15
S-NSL3,OHARA-NSL,1.36,1.5043405369437,1.5043405369437124,-1.2434497875801753e-14
