z,e,r,o, ,m,e,a,n,s, ,n,o, ,d,a,t,a, ,a,v,a,i,l,a,b,l,e, ,i,n, ,t,h,e, ,g,i,v,e,n, ,c,a,t,a,l,o,g
Glass name,Glass catalog,Wavelength,Refractive index in web,Refractive index calculated,Difference of RI
K5G20,SCHOTT-K,1.435,1.508314166185,1.5083141661850268,-2.6867397195928788e-14
N-SK15,SCHOTT-SK,1.417,1.6055263722658,1.6055263722658464,-4.6407322429331543e-14
N-SSK5,SCHOTT-SSK,1.425,1.6385485784244,1.6385485784244467,-4.6629367034256575e-14
N-BK7,SCHOTT-BK,1.4,1.5024964846769,1.5024964846769453,-4.529709940470639e-14
N-BAK4,SCHOTT-BaK,1.417,1.5524334945124,1.5524334945124234,-2.3314683517128287e-14
N-FK58,SCHOTT-FK,1.38,1.447776337143,1.4477763371430283,-2.842170943040401e-14
N-LAK22,SCHOTT-LaK,1.405,1.632632492327,1.6326324923269653,3.4638958368304884e-14
N-PK51,SCHOTT-PK,1.4,1.5176371075964,1.5176371075964379,-3.7969627442180354e-14
N-PSK53,SCHOTT-PSK,1.405,1.6042562157909,1.6042562157908973,2.6645352591003757e-15
F2HT,SCHOTT-F,1.41,1.5966535905313,1.596653590531333,-3.3084646133829665e-14
