z,e,r,o, ,m,e,a,n,s, ,n,o, ,d,a,t,a, ,a,v,a,i,l,a,b,l,e, ,i,n, ,t,h,e, ,g,i,v,e,n, ,c,a,t,a,l,o,g
Glass name,Glass catalog,Wavelength,Refractive index in web,Refractive index calculated,Difference of RI
K-SK14,SUMITA-SK,0.955,1.5927593988465,1.5927593988465394,-3.930189507173054e-14
K-LaFn5,SUMITA-LaF,0.955,1.7277757470808,1.7277757470807544,4.551914400963142e-14
K-SSK4,SUMITA-SSK,0.955,1.6062495653423,1.6062495653423272,-2.731148640577885e-14
K-PSK100,SUMITA-PSK,0.955,1.5817204363013,1.5817204363013018,-1.7763568394002505e-15
K-GIR79,SUMITA-GIR,0.955,1.832273778356,1.8322737783560372,-3.730349362740526e-14
K-FK5,SUMITA-FK,0.955,1.479893338652,1.4798933386519508,4.907185768843192e-14
K-FIR97UV,SUMITA-FIR,0.955,1.4212438069446,1.4212438069445519,4.8183679268731794e-14
K-BK7,SUMITA-BK,0.955,1.5076945747233,1.5076945747233466,-4.6629367034256575e-14
K-BOC30,SUMITA-BOC,0.975,1.9716461861203,1.9716461861202712,2.886579864025407e-14
K-SFLD8,SUMITA-SFLD,0.975,1.6679713608898,1.667971360889753,4.6851411639181606e-14
