Given change in reference,Calculated by formula,Difference(10^-6)
2.50250725785168e+000,2.523538695018449,-0.021031437166768807
2.47875428873054e+000,2.499841791603256,-0.02108750287271599
2.45236210081816e+000,2.47509647435628,-0.022734373538120245
2.42860913169702e+000,2.4493027432775305,-0.020693611580510307
2.40221694378464e+000,2.4224605983669902,-0.020243654582350334
2.37582475587226e+000,2.3945700396246763,-0.018745283752416242
2.34943256795988e+000,2.3656310670505727,-0.016198499090692486
2.32040116125627e+000,2.3356436806446856,-0.015242519388415587
2.29136975455265e+000,2.3046078804070254,-0.013238125854375227
2.25705991026656e+000,2.272523666337575,-0.015463756071015133
2.22275006598047e+000,2.2398649743746755,-0.017114908394205486
2.19107944048562e+000,2.205698699033657,-0.014619258548036917
2.15676959619953e+000,2.170484009860862,-0.013714413661332081
2.11982053312220e+000,2.134220906856283,-0.014400373734082983
2.08551068883610e+000,2.0969093900199223,-0.011398701183822357
2.04856162575878e+000,2.0585494593517795,-0.009987833592999262
2.00897334389021e+000,2.0197034411648094,-0.01073009727459917
1.96410662443917e+000,1.9798383339526984,-0.015731709513528314
1.92187912377936e+000,1.938954137715448,-0.017075013936088013
1.87965162311956e+000,1.8964448508961675,-0.016793227776607633
1.83478490366851e+000,1.8535079181939917,-0.01872301452548175
1.78727896542623e+000,1.809551896466675,-0.022272931040445032
1.74241224597519e+000,1.7645767857142185,-0.022164539739028433
1.70282396410662e+000,1.7179181427437995,-0.015094178637179434
1.65795724465558e+000,1.6708902955264178,-0.012933050870837848
1.60517286883083e+000,1.6235369193060063,-0.018364050475176308
1.55238849300607e+000,1.575193362912392,-0.022804869906321912
1.50224333597255e+000,1.5251373654488787,-0.02289402947632868
1.45209817893903e+000,1.474062278960224,-0.02196410002119409
1.39931380311428e+000,1.4219681034464304,-0.022654300332150434
1.34125098970705e+000,1.3703865032114066,-0.029135513504356725
1.28582739509105e+000,1.3170633450771934,-0.03123594998614343
1.23304301926630e+000,1.2619555777319134,-0.02891255846561336
1.18025864344154e+000,1.2066377088140017,-0.026379065372461596
1.12483504882555e+000,1.1503296597228876,-0.02549461089733751
1.06677223541832e+000,1.0930314304585707,-0.02625919504025065
1.00607020321985e+000,1.0355948518080877,-0.029524648588237667
9.45368171021378e-001,0.9763306126346578,-0.030962441613279768
8.87305357614146e-001,0.9160761932880261,-0.02877083567388017
8.23964106624439e-001,0.8557262678897539,-0.03176216126531495
7.60622855634733e-001,0.7953232638196632,-0.034700408184930254
6.97281604645025e-001,0.7330641063293932,-0.03578250168436825
6.33940353655318e-001,0.6707799471098342,-0.03683959345451626
5.73238321456849e-001,0.6066115575275661,-0.03337323607071707
5.09897070467142e-001,0.5405165102027676,-0.03061943973562553
4.43916600686197e-001,0.4753897165351251,-0.03147311584892809
3.75296912114014e-001,0.41032215196577876,-0.035025239851764756
3.09316442333070e-001,0.3423352981995167,-0.033018855866446706
2.40696753760887e-001,0.2733867571572854,-0.03269000339639838
1.69437846397467e-001,0.20554643853014898,-0.03610859213268197
9.81789390340460e-002,0.13575159319530572,-0.037572654161259725
2.69200316706253e-002,0.0650231375270247,-0.038103105856399394
-4.43388756927949e-002,-0.006638928474698351,-0.037699947218096545
-1.20876220638691e-001,-0.07705405116749443,-0.04382216947119656
-1.94774346793349e-001,-0.1494515695331742,-0.04532277726017481
-2.66033254156770e-001,-0.22387266308745077,-0.042160591069319214
-3.37292161520190e-001,-0.2992273669751671,-0.03806479454502287
-4.11190287674848e-001,-0.3755156811963229,-0.035674606478525106
-4.87727632620744e-001,-0.45041895514677743,-0.037308677473966545
-5.66904196357878e-001,-0.5262009334097256,-0.04070326294815241
-6.48719978886250e-001,-0.6028616159851649,-0.04585836290108514
-7.25257323832146e-001,-0.6816007797701492,-0.043656544061996816
-8.01794668778042e-001,-0.7612458929007456,-0.04054877587729633
-8.78332013723938e-001,-0.8430243932618307,-0.035307620462107336
-9.57508577461071e-001,-0.9232539671987842,-0.03425461026228682
-1.04196357878068e+000,-1.0031077705075877,-0.03885580827309232
-1.12377936130905e+000,-1.085081234541643,-0.03869812676740714
-1.20295592504619e+000,-1.1679334028881923,-0.03502252215799784
-1.27949326999208e+000,-1.2529593060715296,-0.026533963920550407
-1.36130905252045e+000,-1.3375824015709503,-0.023726650949499772
