Given change in reference,Calculated by formula,Difference(10^-6)
3.26603325415677e+000,3.2740562316855915,-0.008022977528821418
3.19609395618897e+000,3.2055709209702887,-0.009476964781318653
3.13011348640802e+000,3.135893737712027,-0.005780251304007056
3.06677223541832e+000,3.069411265317531,-0.002639029899211387
3.00475059382423e+000,3.0049683395068847,-0.0002177456826548685
2.94404856162576e+000,2.9438209951063325,0.0002275665194275689
2.88730535761415e+000,2.8859302930404334,0.0013750645737165001
2.83188176299815e+000,2.830337246378185,0.0015445166199650195
2.77645816838216e+000,2.77886667463956,-0.002408506257399967
2.72235418316178e+000,2.7320373920298073,-0.009683208868027204
2.67220902612827e+000,2.686574717387826,-0.014365691259556002
2.62734230667722e+000,2.6434402135720516,-0.016097906894831482
2.58775402480866e+000,2.6021413474262722,-0.01438732261761233
2.55212457112695e+000,2.5640129658722075,-0.011888394745257713
2.51781472684086e+000,2.529449169077783,-0.011634442236923004
2.48746371074162e+000,2.4977720305970976,-0.010308319855477421
2.45843230403800e+000,2.4692903911895057,-0.010858087151505824
2.43335972552125e+000,2.443086323282668,-0.009726597761417821
2.41092636579572e+000,2.419827506255759,-0.008901140460038981
2.39113222486144e+000,2.3990404546994375,-0.007908229837997549
2.37397730271840e+000,2.380885202493312,-0.0069078997749119075
2.35946159936659e+000,2.3649786044379755,-0.005517005071385306
2.34758511480602e+000,2.35159460483349,-0.004009490027470086
2.33702823964107e+000,2.340197285594882,-0.0031690459538116222
2.32647136447612e+000,2.3308417367846803,-0.004370372308560189
2.31723409870678e+000,2.323389757233486,-0.006155658526705743
2.31195566112431e+000,2.3177126091192206,-0.005756947994910444
2.30799683293745e+000,2.3136894828377406,-0.005692649900290725
2.30535761414621e+000,2.3112081895017997,-0.005850575355589527
2.30535761414621e+000,2.3101639792090745,-0.0048063650628642485
2.30667722354183e+000,2.310458838134764,-0.003781614592933913
2.30667722354183e+000,2.312001314802197,-0.0053240912603671475
2.30667722354183e+000,2.3147057634423245,-0.008028539900494458
2.30931644233307e+000,2.318491620420478,-0.009175178087407865
2.31459487991554e+000,2.323283391516421,-0.008688511600881021
2.32119292689364e+000,2.329010425131125,-0.007817498237485232
2.32911058326735e+000,2.335606250277988,-0.006495667010637973
2.33966745843230e+000,2.3429000346543507,-0.0032325762220506427
2.34758511480602e+000,2.3510402034081603,-0.003455088602140499
2.35418316178411e+000,2.359873965547631,-0.005690803763521046
2.36210081815783e+000,2.3692128069516967,-0.007111988793866875
2.37133808392716e+000,2.3792711622841645,-0.007933078357004408
2.37925574030087e+000,2.389876041373024,-0.010620301072153726
2.38717339667458e+000,2.4009832771143023,-0.0138098804397222
2.39773027183954e+000,2.4123869886104203,-0.014656716770880429
2.40960675640011e+000,2.4242008847362024,-0.014594128336092638
2.42148324096068e+000,2.436564023049654,-0.015080782088973788
2.43335972552125e+000,2.4490988125679274,-0.01573908704667737
2.44523621008182e+000,2.4619425520810334,-0.016706341999213503
2.45975191343362e+000,2.475064096483029,-0.015312183049408734
2.47294800738981e+000,2.488436039637885,-0.015488032248075267
2.48614410134600e+000,2.502030688180761,-0.015886586834760852
2.49670097651095e+000,2.515823076696389,-0.019122100185438917
2.50857746107152e+000,2.5299850699453064,-0.021407608873786454
2.52177355502771e+000,2.544099472675562,-0.022325917647851856
2.53628925837952e+000,2.5583396174771127,-0.022050359097592676
2.55080496173133e+000,2.5726847958550163,-0.021879834123686326
2.56795988387437e+000,2.5871138702573844,-0.019153986383014576
2.58379519662180e+000,2.6016090702029597,-0.01781387358115971
2.59699129057799e+000,2.616152571845252,-0.01916128126726191
2.60886777513856e+000,2.6307264231699743,-0.02185864803141424
2.62338347849037e+000,2.6453124903687324,-0.02192901187836238
2.63921879123779e+000,2.659689964999092,-0.02047117376130192
2.65373449458960e+000,2.6742557562782037,-0.020521261688603687
2.66561097915017e+000,2.6887902932420404,-0.023179314091870573
2.68012668250198e+000,2.7032777493138953,-0.023151066811915477
2.69728160464503e+000,2.717704864128421,-0.0204232594833913
2.71311691739245e+000,2.731858682439496,-0.018741765047046055
2.72631301134864e+000,2.746132225898307,-0.019819214549666953
2.74082871470045e+000,2.760508624947174,-0.01967991024672422
2.76590129321721e+000,2.774376414367602,-0.008475121150392173
