Given change in reference,Calculated by formula,Difference(10^-6)
1.28028503562945e+000,1.3031643983647871,-0.022879362735337194
1.20506730007918e+000,1.2159830763881483,-0.010915776308968228
1.12852995513328e+000,1.1368719788296129,-0.008342023696332967
1.05463182897862e+000,1.0582805997724183,-0.0036487707937982172
9.82053312219583e-001,0.9821409982479422,-8.76860283591796e-05
9.10794404856162e-001,0.9069802984231214,0.003814106433040587
8.36896278701504e-001,0.8402579181868088,-0.003361639485304879
7.62998152546846e-001,0.776989127881571,-0.013990975334725042
6.97017682765901e-001,0.7080008493180951,-0.010983166552194112
5.06993929796780e-001,0.5302697550196851,-0.023275825222905056
4.46291897598311e-001,0.47315301038356106,-0.026861112785250052
3.89548693586698e-001,0.41786476041416426,-0.028316066827466235
3.36764317761943e-001,0.36284040504334136,-0.026076087281398375
2.86619160728424e-001,0.3110292874153817,-0.02441012668695769
2.39113222486144e-001,0.2631098994555979,-0.023996676969453873
1.95566112430721e-001,0.2181611562646925,-0.022595043833971512
1.57297439957772e-001,0.1748700125677623,-0.01757257260999029
1.21667986276062e-001,0.1346421481939893,-0.012974161917927288
8.73581419899709e-002,0.0979215802958211,-0.0105634383058502
5.43679070994985e-002,0.06401235295659478,-0.009644445857096284
2.40168910002638e-002,0.03327470320182085,-0.009257812201557046
-2.37529691211402e-003,0.005123690703696057,-0.007498987615810077
-2.48086566376352e-002,-0.020505185310221094,-0.004303471327414106
-4.72420163631564e-002,-0.04337160178666534,-0.003870414576491059
-6.70361572974399e-002,-0.0636472708411688,-0.003388886456271112
-8.68302982317234e-002,-0.08173262019891303,-0.005097678032810374
-1.02665610979150e-001,-0.09747439024032073,-0.005191220738829272
-1.15861704935339e-001,-0.11101887615418646,-0.004842828781152539
-1.27738189495909e-001,-0.12250208984290295,-0.00523609965300606
-1.38295064660861e-001,-0.13205032607708644,-0.006244738583774556
-1.46212721034574e-001,-0.13987765893815068,-0.006335062096423316
-1.52810768012668e-001,-0.1459512359416439,-0.006859532071024105
-1.56769596199525e-001,-0.15037815211444397,-0.006391444085081022
-1.58089205595144e-001,-0.1532588064799629,-0.0048303991151811
-1.59408814990763e-001,-0.1546871999023486,-0.004721615088414399
-1.62048033782001e-001,-0.1547510474214333,-0.007296986360567692
-1.62048033782001e-001,-0.153532664482043,-0.008515369299957998
-1.62048033782001e-001,-0.15110927643752559,-0.010938757344475414
-1.60728424386382e-001,-0.14755349473326487,-0.013174929653117118
-1.56769596199525e-001,-0.14293370556049745,-0.013835890639027543
-1.52810768012668e-001,-0.1373137568035796,-0.01549701120908839
-1.47532330430193e-001,-0.13075416253525893,-0.016778167894934082
-1.42253892847717e-001,-0.12342071492500598,-0.018833177922711025
-1.35655845869623e-001,-0.11516001656434438,-0.02049582930527863
-1.26418580100290e-001,-0.1062509676738101,-0.020167612426479894
-1.15861704935339e-001,-0.09662992674297646,-0.019231778192362534
-1.05304829770388e-001,-0.0863398290898923,-0.01896500068049571
-9.60675640010557e-002,-0.07526306013829871,-0.020804503862756993
-8.41910794404857e-002,-0.06374763614079203,-0.020443443299693678
-6.96753760886778e-002,-0.05168072831353649,-0.017994647775141308
-5.64792821324889e-002,-0.03909583585148784,-0.01738344628100106
-4.46027975719188e-002,-0.02602579187816732,-0.018577005693751477
-3.14067036157297e-002,-0.012502666305721232,-0.018904037310008465
-1.68910002639219e-002,0.001443888660848113,-0.018334888924770015
-1.05568751649510e-003,0.015581013821217283,-0.016636701337712383
1.47796252309318e-002,0.03028684344125487,-0.01550721821032307
3.19345473739774e-002,0.04533614105398207,-0.013401593680004674
4.77698601214041e-002,0.060487070366079865,-0.012717210244675765
6.22855634732118e-002,0.07614998343796918,-0.013864419964757381
7.54816574294008e-002,0.09208866298603964,-0.01660700555663884
8.99973607812088e-002,0.1082811668696505,-0.018283806088441698
1.07152282924254e-001,0.12470702411509932,-0.017554741190845324
1.21667986276062e-001,0.14134946874651436,-0.019681482470452358
1.34864080232251e-001,0.15818988498336775,-0.023325804751116758
1.50699392979678e-001,0.1752093096660328,-0.0245099166863548
1.67854315122724e-001,0.19214863120824097,-0.024294316085516965
1.86328846661388e-001,0.2094764703670932,-0.023147623705705195
2.04803378200053e-001,0.22669047293983086,-0.021887094739777846
2.17999472156242e-001,0.2442708451730922,-0.026271373016850202
5.67695961995249e-001,0.5913035197343433,-0.023607557739094287
