Given change in reference,Calculated by formula,Difference(10^-6)
-3.54608294930876e+000,-3.430489179384471,-0.11559376992428883
-3.68202764976959e+000,-3.544850485834637,-0.13717716393495305
-3.81105990783410e+000,-3.6637348956517304,-0.1473250121823697
-3.93087557603687e+000,-3.7916570353109713,-0.1392185407258988
-4.05069124423963e+000,-3.917631641972368,-0.1330596022672621
-4.16820276497696e+000,-4.04161718788979,-0.12658557708716955
-4.28110599078341e+000,-4.163579170277343,-0.11752682050606733
-4.39170506912442e+000,-4.283499797883543,-0.10820527124087675
-4.50460829493088e+000,-4.399230638711439,-0.10537765621944128
-4.61751152073733e+000,-4.5109759298054595,-0.1065355909318706
-4.72580645161290e+000,-4.620919557809823,-0.10488689380307736
-4.82949308755760e+000,-4.730970567574369,-0.0985225199832307
-4.93317972350230e+000,-4.839061569527152,-0.09411815397514811
-5.03456221198157e+000,-4.943388690659306,-0.09117352132226397
-5.13133640552995e+000,-5.045866387595719,-0.08547001793423092
-5.22580645161290e+000,-5.148166649255917,-0.07763980235698309
-5.31797235023041e+000,-5.246884217249258,-0.07108813298115191
-5.40783410138249e+000,-5.342193751418542,-0.06564034996394863
-5.50000000000000e+000,-5.435770772150421,-0.0642292278495793
-5.58986175115207e+000,-5.524698615303376,-0.06516313584869415
-5.67281105990783e+000,-5.612077927626282,-0.06073313228154831
-5.75576036866359e+000,-5.697912289253401,-0.057848079410188546
-5.84101382488479e+000,-5.779571569586208,-0.06144225529858183
-5.92165898617511e+000,-5.861117859951253,-0.060541126223857766
-6.00000000000000e+000,-5.941189241367994,-0.058810758632006355
-6.07603686635945e+000,-6.01740590009119,-0.05863096626826003
-6.14746543778802e+000,-6.093445186768039,-0.054020251019980314
-6.21428571428571e+000,-6.1669625017353455,-0.047323212550364424
-6.28110599078341e+000,-6.2380692435411085,-0.043036747242301665
-6.35253456221198e+000,-6.3068694822053875,-0.04566508000659297
-6.42396313364055e+000,-6.373451243822396,-0.05051188981815358
-6.49078341013825e+000,-6.438871757837496,-0.05191165230075434
-6.55069124423963e+000,-6.503117440991947,-0.047573803247682456
-6.61059907834101e+000,-6.564360880025205,-0.046238198315804446
-6.67050691244240e+000,-6.623651675813958,-0.04685523662844204
-6.72811059907834e+000,-6.682768666111613,-0.04534193296672662
-6.78341013824885e+000,-6.739960274934245,-0.04344986331460454
-6.83870967741936e+000,-6.794497522001977,-0.04421215541738288
-6.88479262672811e+000,-6.8488382605823155,-0.035954366145794836
-7.19815668202765e+000,-7.192925353538681,-0.005231328488969567
-7.25806451612903e+000,-7.233029784522245,-0.0250347316067856
-7.29723502304148e+000,-7.273532840558812,-0.0237021824826682
-7.32718894009217e+000,-7.312656459920846,-0.014532480171324025
-7.35944700460830e+000,-7.350444523891147,-0.009002480717152928
-7.39400921658986e+000,-7.386932179243859,-0.0070770373460016245
-7.42857142857143e+000,-7.4226454587515,-0.005925969819929655
-7.46313364055300e+000,-7.456610922148118,-0.006522718404881722
-7.48617511520737e+000,-7.48982425123454,0.003649136027170208
-7.17281105990783e+000,-7.148995642365826,-0.023815417542004447
-7.12672811059908e+000,-7.105464319558833,-0.021263791040246893
-7.07834101382488e+000,-7.059802679451496,-0.01853833437338359
-7.03225806451613e+000,-7.011900496399214,-0.020357568116915914
-6.98617511520737e+000,-6.963073561614309,-0.023101553593060764
-6.93778801843318e+000,-6.913337892081906,-0.024450126351273305
-6.89400921658986e+000,-6.861181543421472,-0.03282767316838875
-7.79723502304148e+000,-7.78319808641311,-0.014036936628370356
-7.81797235023041e+000,-7.8033656345051465,-0.01460671572526362
-7.83870967741936e+000,-7.8225858904774865,-0.016123786941873774
-7.85714285714286e+000,-7.840873909775675,-0.01626894736718487
-7.87788018433180e+000,-7.858245811976983,-0.01963437235481713
-7.89400921658986e+000,-7.874939739432088,-0.019069477157771964
-7.90092165898618e+000,-7.890717993533802,-0.010203665452377386
-7.90092165898618e+000,-7.905594969457647,0.004673310471467573
-7.77649769585253e+000,-7.762066871999804,-0.014430823852726427
-7.75345622119816e+000,-7.739954100734106,-0.013502120464053746
-7.72811059907834e+000,-7.7168416892714236,-0.011268909806916305
-7.70046082949309e+000,-7.692710673879055,-0.007750155614035137
-7.67741935483871e+000,-7.6675436589336075,-0.00987569590510251
-7.65668202764977e+000,-7.641319203971127,-0.015362823678642279
-7.63364055299539e+000,-7.614013788511217,-0.019626764484172554
-7.60138248847926e+000,-7.5860093177561945,-0.015373170723065321
-7.55760368663594e+000,-7.557327729147651,-0.00027595748828979083
-7.52995391705069e+000,-7.527125812856642,-0.002828104194048109
-7.50230414746544e+000,-7.495322972143306,-0.00698117532213427
