Given change in reference,Calculated by formula,Difference(10^-6)
1.20190023752969e+000,1.29590744688695,-0.09400720935725992
1.39350752177355e+000,1.4480674629724504,-0.0545599411989004
1.55608339931380e+000,1.605326216029945,-0.049242816716145166
1.70704671417260e+000,1.7605046305623258,-0.053457916389725746
1.85220374769068e+000,1.9158719958506396,-0.06366824815995953
1.99736078120876e+000,2.069096459526092,-0.07173567831733196
2.15413037740829e+000,2.217971758825662,-0.06384138141737239
2.31670625494854e+000,2.3625910432355437,-0.04588478828700371
2.47347585114806e+000,2.5073367153136177,-0.03386086416555756
2.61282660332542e+000,2.654228738850502,-0.041402135525081984
2.74637107416205e+000,2.796833234238691,-0.05046216007664084
2.87991554499868e+000,2.9372948280140228,-0.057379283015342786
3.02507257851676e+000,3.073594946676701,-0.04852236815994093
3.16442333069411e+000,3.2078147268142683,-0.04339139612015819
3.29796780153075e+000,3.3419106422690397,-0.04394284073828958
3.43151227236738e+000,3.4738636561109564,-0.0423513837435765
3.56505674320401e+000,3.6036737683400077,-0.03861702513599763
3.69279493269992e+000,3.7332024495911997,-0.04040751689127964
3.80892055951438e+000,3.86052473928123,-0.051604179766850056
3.92504618632885e+000,3.9856406374100954,-0.06059445108124528
4.05278437582476e+000,4.106784603410667,-0.05400022758590772
4.18052256532066e+000,4.227519695106494,-0.04699712978583381
4.30245447347585e+000,4.346048395241152,-0.043593921765302746
4.41277381894959e+000,4.464040314313901,-0.051266495364310494
4.52889944576405e+000,4.579761425016616,-0.050861979252566414
4.64502507257852e+000,4.691606997089197,-0.04658192451067755
4.75534441805226e+000,4.8028189311714256,-0.047474513119165174
4.85985748218527e+000,4.911760056883623,-0.05190257469835302
4.97017682765901e+000,5.018430374225794,-0.04825354656678371
5.08049617313275e+000,5.122829883197935,-0.042333710065184604
5.18500923726577e+000,5.224958583800046,-0.039949346534275954
5.27210345737662e+000,5.324816476032127,-0.05271301865550715
5.36500395882819e+000,5.422403559894179,-0.05739960106598918
5.46371074162048e+000,5.5177198353862,-0.054009093765719385
5.56241752441277e+000,5.610765302508193,-0.048347778095423344
5.66112430720507e+000,5.70025916876549,-0.03913486156042012
5.75402480865664e+000,5.790043811642093,-0.03601900298545324
5.84111902876749e+000,5.877492302479241,-0.03637327371175125
5.92240696753761e+000,5.961422096001546,-0.0390151284639364
6.00369490630773e+000,6.044231186309638,-0.04053628000190823
6.07917656373713e+000,6.123586922972312,-0.044410359235182106
6.15465822116653e+000,6.201756612751352,-0.04709839158482243
6.23594615993666e+000,6.2775901504909415,-0.04164399055428181
6.31723409870678e+000,6.350068581804382,-0.032834483097602174
6.39271575613618e+000,6.421262719014916,-0.02854696287873537
6.45658485088414e+000,6.490120704185996,-0.03353585330185549
6.52626022697282e+000,6.556642537317624,-0.03038231034480443
6.59593560306149e+000,6.6208282184098,-0.024892615348309555
6.65980469780945e+000,6.682677747462522,-0.022873049653072464
6.71206122987596e+000,6.742191124475792,-0.030129894599832063
6.77012404328319e+000,6.799368349449612,-0.029244306166421374
6.82238057534970e+000,6.854209422383975,-0.03182884703427469
6.87463710741620e+000,6.906714343278886,-0.03207723586268596
6.92689363948271e+000,6.956883112134347,-0.02998947265163654
6.97334389020850e+000,7.004715728950351,-0.03137183874185112
7.02560042227501e+000,7.050212193726907,-0.024611771451896303
7.07785695434151e+000,7.093963714702633,-0.01610676036112224
7.12430720506730e+000,7.134754971850428,-0.010447766783127754
7.15914489311164e+000,7.173735014667416,-0.014590121555776214
7.19398258115598e+000,7.210312634914966,-0.016330053758985663
7.22882026920032e+000,7.2440296288447055,-0.015209359644385856
7.25785167590393e+000,7.275835770933514,-0.017984095029584424
7.29268936394827e+000,7.305239490452894,-0.012550126504623726
7.32172077065189e+000,7.332240787402833,-0.010520016750943384
7.33913961467406e+000,7.356839661783343,-0.017700047109282302
7.36236474003695e+000,7.379036113594411,-0.016671373557461067
7.37978358405912e+000,7.398830142836049,-0.019046558776929068
7.39139614674056e+000,7.4162217495082485,-0.02482560276768897
7.39720242808129e+000,7.431210933611016,-0.03400850552972656
7.40300870942201e+000,7.443797695144343,-0.04078898572233314
