Given change in reference,Calculated by formula,Difference(10^-6)
3.26603325415677e+000,3.273861979348098,-0.007828725191327823
3.19609395618897e+000,3.205381869077182,-0.009287912888211736
3.13011348640802e+000,3.1357100856693645,-0.0055965992613447035
3.06677223541832e+000,3.0692328816924315,-0.0024606462741116886
3.00475059382423e+000,3.0047951863863767,-4.459256214683904e-05
2.94404856162576e+000,2.9436529343704,0.00039562725536024246
2.88730535761415e+000,2.8857671876101163,0.0015381700040335566
2.83188176299815e+000,2.830179042356572,0.0017027206415782814
2.77645816838216e+000,2.7787131544005454,-0.002254986018385363
2.72235418316178e+000,2.7318882763151935,-0.009534093153413359
2.67220902612827e+000,2.686430031769912,-0.014221005641642304
2.62734230667722e+000,2.6432998984222067,-0.015957591744986566
2.58775402480866e+000,2.602005400999058,-0.01425137619039818
2.55212457112695e+000,2.5638812484666316,-0.011756677339681776
2.51781472684086e+000,2.529321486276446,-0.011506759435586211
2.48746371074162e+000,2.497648255573255,-0.010184544831634668
2.45843230403800e+000,2.4691703471554285,-0.010738043117428653
2.43335972552125e+000,2.4429699460700376,-0.009610220548787574
2.41092636579572e+000,2.419714630183855,-0.008788264388134959
2.39113222486144e+000,2.3989309706089603,-0.007798745747520375
2.37397730271840e+000,2.3807789595698496,-0.006801656851449511
2.35946159936659e+000,2.364875503342032,-0.005413903975441947
2.34758511480602e+000,2.3514944672548315,-0.003909352448811632
2.33702823964107e+000,2.340100024592131,-0.003071784951060863
2.32647136447612e+000,2.330747230190356,-0.00427586571423566
2.31723409870678e+000,2.3232978896134844,-0.0060637909067042806
2.31195566112431e+000,2.317623271239348,-0.005667610115037913
2.30799683293745e+000,2.3136025715699153,-0.005605738632465496
2.30535761414621e+000,2.311123607250321,-0.005765993104110745
2.30535761414621e+000,2.310081633469536,-0.004724019323326001
2.30667722354183e+000,2.3103786413083855,-0.003701417766555526
2.30667722354183e+000,2.3119231839393013,-0.005245960397471272
2.30667722354183e+000,2.3146296197444025,-0.007952396202572487
2.30931644233307e+000,2.318417388921988,-0.009100946588918024
2.31459487991554e+000,2.3232110009745432,-0.008616121059003223
2.32119292689364e+000,2.3289398078591224,-0.007746880965482372
2.32911058326735e+000,2.3355373418691516,-0.006426758601801641
2.33966745843230e+000,2.3428327512466005,-0.0031652928143004466
2.34758511480602e+000,2.350974510005496,-0.0033893951994761196
2.35418316178411e+000,2.359809806510498,-0.005626644726388186
2.36210081815783e+000,2.3691501088867515,-0.007049290728921687
2.37133808392716e+000,2.3792098953601153,-0.007871811432955234
2.37925574030087e+000,2.389816157197777,-0.010560416896907121
2.38717339667458e+000,2.4009247294102605,-0.01375133273568041
2.39773027183954e+000,2.41232971540051,-0.014599443560970204
2.40960675640011e+000,2.4241448448233096,-0.014538088423199813
2.42148324096068e+000,2.4365091935776495,-0.015025952616969374
2.43335972552125e+000,2.449045138726724,-0.015685413205473786
2.44523621008182e+000,2.4618899977258146,-0.016653787643994722
2.45975191343362e+000,2.4750126268876524,-0.015260713454032349
2.47294800738981e+000,2.4883856216017226,-0.015437614211912809
2.48614410134600e+000,2.5019812898116873,-0.01583718846568738
2.49670097651095e+000,2.5157746674421078,-0.01907369093115774
2.50857746107152e+000,2.52993763368531,-0.021360172613789974
2.52177355502771e+000,2.5440529674199825,-0.02227941239227249
2.53628925837952e+000,2.5582940160609016,-0.022004757681381548
2.55080496173133e+000,2.5726400721887575,-0.021835110457427476
2.56795988387437e+000,2.5870699991887736,-0.019110115314403764
2.58379519662180e+000,2.6015660276133574,-0.017770830991557407
2.59699129057799e+000,2.61611033454433,-0.019119043966339788
2.60886777513856e+000,2.6306849687996903,-0.02181719366113022
2.62338347849037e+000,2.6452717973132724,-0.02188831882290243
2.63921879123779e+000,2.6596500021626834,-0.020431210924893417
2.65373449458960e+000,2.6742165142277745,-0.02048201963817453
2.66561097915017e+000,2.68875175270177,-0.02314077355160027
2.68012668250198e+000,2.703239891598343,-0.023113209096363274
2.69728160464503e+000,2.7176676712092904,-0.020386066564260563
2.71311691739245e+000,2.7318221279777717,-0.01870521058532182
2.72631301134864e+000,2.7460963024145,-0.019783291065860187
2.74082871470045e+000,2.760473324775504,-0.019644610075054025
2.76590129321721e+000,2.774341704607538,-0.008440411390327807
